"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"02.02.2015 08:00";"21.2";"58";"5.1";"75";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 09:00";"21.0";"58";"4.7";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 10:00";"21.1";"58";"7.4";"63";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 11:00";"20.9";"54";"7.6";"69";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 12:00";"21.1";"55";"10.3";"53";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 13:00";"21.6";"55";"10.3";"47";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 14:00";"21.5";"55";"10.0";"50";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 15:00";"20.8";"54";"9.4";"49";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 16:00";"20.5";"54";"8.6";"53";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 17:00";"21.8";"52";"7.2";"58";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 18:00";"24.2";"47";"6.0";"65";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 19:00";"24.4";"48";"6.2";"66";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 20:00";"25.2";"59";"5.7";"69";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 21:00";"25.9";"52";"4.8";"72";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 22:00";"25.3";"53";"4.1";"74";"---";"---";"---";"---";"---";"---";"---";"---"
"02.02.2015 23:00";"24.8";"54";"3.1";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 00:00";"24.0";"55";"2.9";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 01:00";"23.4";"55";"2.9";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 02:00";"22.8";"56";"0.9";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 03:00";"22.2";"57";"0.8";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 04:00";"21.8";"57";"0.3";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 05:00";"21.5";"57";"0.1";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 06:00";"21.2";"58";"0.1";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 07:00";"20.9";"57";"0.3";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 08:00";"20.9";"57";"0.2";"79";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 09:00";"20.9";"55";"0.3";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 10:00";"23.2";"51";"0.7";"74";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 11:00";"25.2";"52";"1.9";"70";"---";"---";"---";"---";"---";"---";"---";"---"
